UTILITY_ID,UTILNAME,STATE_CODE,YEAR,MONTH,RES_REV (Thousand $),RES_SALES (MwH),RES_CONS ,COM_REV (Thousand $),COM_SALES (MwH),COM_CONS,IND_REV (Thousand $),IND_SALES (MwH),IND_CONS,OTH_REV (Thousand $),OTH_SALES (MwH),OTH_CONS,TOT_REV (Thousand $),TOT_SALES (MwH),TOT_CONS
1998,Boston Edison Co,MA,2006,1,76087,411708,622774,94726,549855,101288,8303,43722,1393,0,0,0,179116,1005285,725455
2886,Cambridge Electric Light Co,MA,2006,1,3403,14931,39913,11668,64109,6904,255,1044,18,0,0,0,15326,80084,46835
4089,Commonwealth Electric Co,MA,2006,1,16197,79682,130917,11759,58915,20109,1377,6648,178,0,0,0,29333,145245,151204
6374,Fitchburg Gas and Electric Light Comp,MA,2006,1,3411,17445,24179,1824,9091,3822,606,2580,10,0,0,0,5841,29116,28011
8774,Holyoke City of,MA,2006,1,1116,10042,14494,1718,16149,2651,506,6865,80,0,0,0,3340,33056,17225
11804,Massachusetts Electric Co,MA,2006,1,133041,767266,1064706,84662,446940,131105,17460,92475,3753,0,0,0,235163,1306681,1199564
13206,Nantucket Electric Co,MA,2006,1,1532,6696,10658,582,2334,1247,11,44,2,0,0,0,2125,9074,11907
15748,Reading Town of,MA,2006,1,2856,22369,24392,329,2623,550,3890,35796,2736,,,,7075,60788,27678
20455,Western Massachusetts Elec Co,MA,2006,1,23965,148063,186688,12792,77297,18624,4710,25518,760,,,,41467,250878,206072
49848,Massachusetts Bay Trans Auth,MA,2006,1,0,0,0,34,281,64,0,0,0,578,5426,3,612,5707,67
88888,Total EPM,MA,2006,1,319786,1876099,0,356164,2331567,0,82249,639776,0,,,0,762255,4885518,0
0,State Level Adjustment,MD,2006,1,88364,843167,0,116216,1313167,0,31656,389004,0,,,0,238691,2579145,0
1167,Baltimore Gas & Electric Co,MD,2006,1,82435,1145661,1085630,69438,736116,112199,5436,56654,4674,0,0,0,157309,1938431,1202503
5027,Conectiv,MD,2006,1,20875,248216,170559,10161,104850,24558,413,3956,216,0,0,0,31449,357022,195333
15263,The Potomac Edison Co,MD,2006,1,20724,302315,211982,9800,118999,26293,4665,46400,2746,,,,35189,467714,241021
88888,Total EPM,MD,2006,1,212398,2539359,0,205615,2273132,0,42170,496014,0,,,0,462638,5342312,0
0,State Level Adjustment,ME,2006,1,56192,409800,0,45548,352724,0,27411,323485,0,,,0,129151,1086009,0
3266,Central Maine Power Co,ME,2006,1,1,8,27,2,17,6,0,0,0,0,0,0,3,25,33
5609,Eastern Maine Electric Coop,ME,2006,1,0,0,0,0,0,0,12,1,1,0,0,0,12,1,1
11477,Town of Madison (ME),ME,2006,1,152,1782,2185,37,440,309,51,638,18,0,0,0,240,2860,2512
88888,Total EPM,ME,2006,1,56345,411590,0,45587,353181,0,27474,324124,0,,,0,129406,1088895,0
0,State Level Adjustment,MI,2006,1,19791,308108,0,32700,461957,0,24980,451390,0,,,0,77471,1221455,0
392,Alpena Power Co,MI,2006,1,780,8537,13655,762,9608,3907,367,6725,5,0,0,0,1909,24870,17567
4254,Consumers Energy Co,MI,2006,1,112177,1244255,1567055,81251,980333,214367,49887,796169,8609,0,0,0,243315,3020757,1790031
5107,City of Detroit,MI,2006,1,1,14,77,4068,48194,123,0,0,0,40,417,1,4109,48625,201
5109,Detroit Edison Co,MI,2006,1,137863,1357205,1983769,119406,1401586,185205,61122,1064705,994,0,0,0,318391,3823496,2169968
5659,Edison Sault Electric Co,MI,2006,1,1648,19583,19260,1956,25902,3665,1051,16630,4,0,0,0,4655,62115,22929
9324,Indiana Michigan Power Co,MI,2006,1,6874,122549,108242,3791,61158,17013,3565,76136,1080,0,0,0,14230,259843,126335
10704,Lansing City of,MI,2006,1,4274,57299,83592,6910,105051,12613,1778,33873,286,0,0,0,12962,196223,96491
13780,Northern States Power Co,MI,2006,1,514,5253,7810,504,5017,1438,141,2278,3,0,0,0,1159,12548,9251
19578,Upper Peninsula Power Co,MI,2006,1,3517,26616,46178,2502,21821,5939,1665,21634,13,0,0,0,7684,70071,52130
20847,Wisconsin Electric Power Co,MI,2006,1,1567,15448,24243,1095,12492,2945,8526,218650,87,0,0,0,11188,246590,27275
20860,Wisconsin Public Service Corp,MI,2006,1,506,6390,7830,204,2466,875,212,1725,89,0,0,0,922,10581,8794
