UTILITY_ID,UTILNAME,STATE_CODE,YEAR,MONTH,RES_REV (Thousand $),RES_SALES (MWh),RES_CONS ,COM_REV (Thousand $),COM_SALES (MWh),COM_CONS,IND_REV (Thousand $),IND_SALES (MWh),IND_CONS,TRA_REV (Thousand $),TRA_SALES (MWh),TRA_CONS,TOT_REV (Thousand $),TOT_SALES (MWh),TOT_CONS
55936,Entergy Gulf States - LA LLC,LA,2010,1,40722,507395,324402,32394,445613,51012,31331,635221,3421,0,0,0,104447,1588229,378835
88888,Total EPM,LA,2010,1,256574,3152949,1945246,156183,1924309,270007,127298,2150244,18107,77,882,31,540133,7228383,2233391
0,Adjustment 2010,MA,2010,1,73862.796,566795.581,597692,133555.995,973157.881,126601,160692.752,1210668.846,7286,2820.318,35133.728,2,370931.861,2785756.036,731581
6374,Fitchburg Gas & Elec Light Co,MA,2010,1,3295,17707,24385,1148,6116,3626,163,822,9,0,0,0,4606,24645,28020
8774,Holyoke City of,MA,2010,1,1332,11227,14485,1844,16145,2680,360,4178,66,0,0,0,3536,31550,17231
11804,Massachusetts Electric Co,MA,2010,1,107163.07,696524.83,1029074,35154.91,231616.02,115602,4268.28,31830.53,2826,0,0,0,146586.26,959971.38,1147502
13206,Nantucket Electric Co,MA,2010,1,1175.701,6739.844,11168,375.399,2004.855,1284,0.041,0.12,2,0,0,0,1551.141,8744.819,12454
15748,Reading Town of,MA,2010,1,3500,25978,25615,381,2970,551,4317,37983,2850,0,0,0,8198,66931,29016
20455,Western Massachusetts Elec Co,MA,2010,1,20810.895,145228.13,176852,5688.912,40104.941,20502,607.161,4524.293,857,0,0,0,27106.968,189857.364,198211
54913,NSTAR Electric Company,MA,2010,1,91431,540517,790624,34576,214058,109341,15264,101472,2319,0,0,0,141271,856047,902284
88888,Total EPM,MA,2010,1,302570,2010717,2669895,212724,1486173,380187,185672,1391479,16215,2820,35134,2,703787,4923503,3066299
0,Adjustment 2010,MD,2010,1,60950.815,489441.739,311233,223248.903,1945563.655,93653,37102.557,376984.455,3267,4538.297,49690.332,5,325840.572,2861680.181,408158
84,A & N Electric Coop,MD,2010,1,32.97,282.198,282,6.645,52.734,49,0,0,0,0,0,0,39.615,334.932,331
1167,Baltimore Gas & Electric Co,MD,2010,1,200490,1313375,1057837,45899,355799,77821,2943,26041,3417,0,0,0,249332,1695215,1139075
