UTILITYID,UTILNAME,STATE,YEAR,MONTH,RES_REV (Thousand $),RES_SALES (MwH),RES_CONS ,COM_REV (Thousand $),COM_SALES (MwH),COM_CONS,IND_REV (Thousand $),IND_SALES (MwH),IND_CONS,OTH_REV (Thousand $),OTH_SALES (MwH),OTH_CONS,TOT_REV (Thousand $),TOT_SALES (MwH),TOT_CONS
0,State Level Adjustment,ME,2004,1,58248,499830,0,41868,442876,0,21786,319141,0,,,0,121902,1261847,0
3266,Central Maine Power Co,ME,2004,1,1,10,27,2,18,7,,,,,,,3,28,34
5609,Eastern Maine Electric Coop,ME,2004,1,,,,,,,-20,0,1,,,,-20,0,1
11477,Town of Madison (ME),ME,2004,1,143,1663,2160,37,412,232,180,17829,18,,,,360,19904,2410
88888,Total EPM,ME,2004,1,58392,501503,0,41907,443306,0,21946,336970,0,,,0,122245,1281779,0
0,State Level Adjustment,MI,2004,1,21312,309636,0,42777,803658,0,25863,473309,0,,,0,89938,1586427,0
392,Alpena Power Co,MI,2004,1,761,9095,13574,657,9154,3788,368,9169,5,,,,1786,27418,17367
4254,Consumers Energy Co,MI,2004,1,100838,1311601,1538204,65624,942587,207747,38160,730838,8782,,,,204622,2985026,1754733
5107,City of Detroit,MI,2004,1,2,18,75,4350,50412,18,,,,44,609,1,4396,51039,94
5109,Detroit Edison Co,MI,2004,1,131269,1456260,1963579,99252,1288377,181204,41705,826234,803,,,,272226,3570871,2145586
5659,Edison Sault Electric Co,MI,2004,1,1321,21157,18970,1458,21790,3571,689,17189,4,0,0,0,3468,60136,22545
9324,Indiana Michigan Power Co,MI,2004,1,6940,125832,106759,3818,62109,16207,3645,77951,1107,,,,14403,265892,124073
10704,Lansing City of,MI,2004,1,4115,58054,84362,6416,103504,14326,2495,51138,337,0,0,0,13026,212696,99025
13780,Northern States Power Co,MI,2004,1,487,6403,7768,273,3705,1280,271,5402,35,0,0,0,1031,15510,9083
19578,Upper Peninsula Power Co,MI,2004,1,3434,28145,45632,2354,21235,5901,1194,16901,13,,,,6982,66281,51546
20847,Wisconsin Electric Power Co,MI,2004,1,1716,18245,24040,1083,12677,2918,8083,222659,79,0,0,0,10882,253581,27037
20860,Wisconsin Public Service Corp,MI,2004,1,486,6806,7991,191,2510,931,724,18656,32,0,0,0,1401,27972,8954
