UTILITYID,UTILNAME,STATE_CODE,YEAR,MONTH," RESIDENTIAL REVENUES ($1,000) ", RESIDENTIAL SALES (MWh) , RESIDENTIAL CUSTOMERS ," COMMERCIAL REVENUES ($1,000) ", COMMERCIAL SALES (MWh) , COMMERCIAL CUSTOMERS ," INDUSTRIAL REVENUES ($1,000) ", INDUSTRIAL SALES (MWh) , INDUSTRIAL CUSTOMERS ," TRANSPORTATION REVENUES ($1,000) ", TRANSPORTATION SALES (MWh) , TRANSPORTATION CUSTOMERS ," TOTAL REVENUES ($1,000) ", TOTAL SALES (MWh) , TOTAL CUSTOMERS 
27058,"High West Energy, Inc",CO,2012,1, 69.00 , 643.00 , 611 , 30.00 , 297.00 , 19 , 147.00 , 712.00 , 241 , -   , -   , -   , 246.00 ," 1,652.00 ", 871 
56146,Black Hills/Colorado Elec.Util,CO,2012,1," 8,453.73 "," 57,663.47 "," 81,793 "," 7,778.70 "," 64,736.28 "," 11,723 "," 2,825.74 "," 20,700.67 ", 68 , -   , -   , -   ," 19,058.16 "," 143,100.42 "," 93,584 "
88888,Total EPM,CO,2012,1," 172,723.00 "," 1,627,594.00 "," 2,143,006 "," 135,367.00 "," 1,595,045.00 "," 347,213 "," 76,594.00 "," 1,188,733.00 "," 15,758 ", 420.00 ," 4,791.00 ", 1 ," 385,104.00 "," 4,416,163.00 "," 2,505,978 "
0,Adjustment 2012,CT,2012,1," 99,488.79 "," 558,384.28 "," 615,656 "," 133,606.99 "," 891,205.79 "," 77,567 "," 30,706.89 "," 227,993.84 "," 2,759 "," 1,701.50 "," 15,271.46 ", 2 ," 265,504.17 "," 1,692,855.38 "," 695,984 "
4176,Connecticut Light & Power Co,CT,2012,1," 89,952.41 "," 545,050.35 "," 659,745 "," 21,454.70 "," 140,547.86 "," 56,037 "," 2,482.93 "," 17,979.27 "," 1,641 ", -   , -   , -   ," 113,890.04 "," 703,577.47 "," 717,423 "
7716,Groton Dept of Utilities - (CT),CT,2012,1," 1,666.63 "," 10,509.78 "," 11,195 "," 1,381.91 "," 9,374.01 "," 1,528 "," 2,271.95 "," 20,323.08 ", 16 , -   , -   , -   ," 5,320.49 "," 40,206.87 "," 12,739 "
19497,United Illuminating Co,CT,2012,1," 19,300.00 "," 93,870.00 "," 149,125 "," 5,110.00 "," 30,714.00 "," 12,445 ", 369.00 ," 2,266.00 ", 264 , -   , -   , -   ," 24,779.00 "," 126,850.00 "," 161,834 "
20038,Town of Wallingford - (CT),CT,2012,1," 2,585.12 "," 21,734.88 "," 21,004 "," 2,315.15 "," 20,315.37 "," 3,650 "," 1,049.24 "," 10,984.21 ", 23 , -   , -   , -   ," 5,949.50 "," 53,034.46 "," 24,677 "
88888,Total EPM,CT,2012,1," 212,993.00 "," 1,229,549.00 "," 1,456,725 "," 163,869.00 "," 1,092,157.00 "," 151,227 "," 36,880.00 "," 279,546.00 "," 4,703 "," 1,701.00 "," 15,271.00 ", 2 ," 415,443.00 "," 2,616,524.00 "," 1,612,657 "
0,Adjustment 2012,DC,2012,1," 2,412.13 "," 19,520.00 "," 18,337 "," 74,240.64 "," 610,659.99 "," 8,622 ", 866.51 ," 19,759.94 ", 1 ," 2,221.96 "," 25,788.56 ", 1 ," 79,741.24 "," 675,728.48 "," 26,961 "
15270,Potomac Electric Power Co,DC,2012,1," 19,203.54 "," 164,033.55 "," 212,034 "," 12,874.79 "," 96,123.63 "," 17,889 ", -   , -   , -   , -   , -   , -   ," 32,078.33 "," 260,157.18 "," 229,923 "
88888,Total EPM,DC,2012,1," 21,616.00 "," 183,554.00 "," 230,371 "," 87,115.00 "," 706,784.00 "," 26,511 ", 867.00 ," 19,760.00 ", 1 ," 2,222.00 "," 25,789.00 ", 1 ," 111,820.00 "," 935,886.00 "," 256,884 "
0,Adjustment 2012,DE,2012,1," 4,500.77 "," 32,052.75 "," 34,727 "," 19,119.77 "," 218,598.24 "," 12,248 "," 11,556.49 "," 149,816.00 ", 648 , -   , -   , -   ," 35,177.03 "," 400,466.99 "," 47,623 "
5027,Delmarva Power,DE,2012,1," 37,460.43 "," 273,352.12 "," 259,264 "," 9,639.73 "," 87,371.84 "," 25,201 "," 1,387.13 "," 29,345.91 ", 114 , -   , -   , -   ," 48,487.30 "," 390,069.87 "," 284,579 "
5070,Delaware Electric Cooperative,DE,2012,1," 10,089.00 "," 97,015.00 "," 75,164 "," 1,724.00 "," 17,260.00 "," 8,396 ", -   , -   , -   , -   , -   , -   ," 11,813.00 "," 114,275.00 "," 83,560 "
5335,City of Dover - (DE),DE,2012,1," 2,476.00 "," 17,367.00 "," 19,878 "," 2,570.00 "," 17,607.00 "," 3,332 "," 2,228.00 "," 20,537.00 ", 43 , -   , -   , -   ," 7,274.00 "," 55,511.00 "," 23,253 "
13519,City of Newark - (DE),DE,2012,1," 1,161.00 "," 7,501.00 "," 10,229 ", 770.00 ," 5,209.00 "," 1,430 "," 2,082.00 "," 17,164.00 ", 55 , -   , -   , -   ," 4,013.00 "," 29,874.00 "," 11,714 "
88888,Total EPM,DE,2012,1," 55,687.00 "," 427,288.00 "," 399,262 "," 33,823.00 "," 346,046.00 "," 50,607 "," 17,254.00 "," 216,863.00 ", 860 , -   , -   , -   ," 106,764.00 "," 990,197.00 "," 450,729 "
0,Adjustment 2012,FL,2012,1," 227,548.20 "," 1,950,035.70 "," 1,674,695 "," 124,160.93 "," 1,138,880.82 "," 252,756 "," 27,582.03 "," 298,946.95 "," 4,148 ", (0.33), 0.30 , -   ," 379,290.83 "," 3,387,863.78 "," 1,931,599 "
6452,Florida Power & Light Co,FL,2012,1," 403,451.00 "," 3,755,080.00 "," 4,028,659 "," 305,892.00 "," 3,363,262.00 "," 511,932 "," 16,758.00 "," 233,982.00 "," 8,680 ", 550.00 ," 6,455.00 ", 1 ," 726,651.00 "," 7,358,779.00 "," 4,549,272 "
6455,"Duke Energy Florida, Inc",FL,2012,1," 171,601.17 "," 1,305,111.67 "," 1,387,413 "," 113,469.79 "," 1,120,270.08 "," 183,964 "," 22,376.86 "," 248,421.38 "," 2,391 ", -   , -   , -   ," 307,447.82 "," 2,673,803.14 "," 1,573,768 "
6457,Florida Public Utilities Co,FL,2012,1," 3,422.00 "," 24,191.00 "," 23,599 "," 2,946.67 "," 23,127.00 "," 7,378 ", 566.67 ," 4,770.00 ", 2 , -   , -   , -   ," 6,935.34 "," 52,088.00 "," 30,979 "
7801,Gulf Power Co,FL,2012,1," 45,876.00 "," 369,770.00 "," 378,347 "," 28,348.00 "," 263,409.00 "," 54,038 "," 9,723.00 "," 120,547.00 ", 273 , -   , -   , -   ," 83,947.00 "," 753,726.00 "," 432,658 "
